Unnamed: 1_level_0_Player,Unnamed: 4_level_0_Squad,Unnamed: 0_level_0_Rk,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 36_level_0_Matches,League_Unnamed: 37_level_1,Table_Unnamed: 38_level_1,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 25_level_0_Matches,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 30_level_0_Matches,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches,Unnamed: 8_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 23_level_0_Matches,Unnamed: 23_level_0_A-xAG,Unnamed: 24_level_0_KP,Unnamed: 25_level_0_1/3,Unnamed: 26_level_0_PPA,Unnamed: 27_level_0_CrsPA,Unnamed: 28_level_0_Matches,Unnamed: 19_level_0_Matches,Unnamed: 27_level_0_Rec
Aaron Ciammaglichella,Torino,125,it ITA,MF,19.0,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Italy,stats_standard,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,Matches,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,,,,,
Aaron Cresswell,West Ham,113,eng ENG,DF,34.0,1989,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.00,0.00,0.00,0.00,0.00,0.03,0.15,0.17,0.03,0.17,Matches,England,stats_standard,9.2,504,610,82.6,9299,3625,229,249,92.0,212,241,88.0,58,107,54.2,0,1.3,1.9,-1.3,9,52,5,2,36,Matches,0,5,0,0.0,0.55,0.00,0.00,,23.8,2,0,0,0.05,-0.2,-0.2,Matches,687,45,270,328,94,2,687,2,1,50.0,1,50.0,291,1102,526,6,8,0,4,0,437,4,Matches,15,1.64,7,8,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,610,511,98,33,1,5,36,52,13,11,2,0,504,1,10,Matches,,,,,,,,
Aaron Donnelly,Dundee,83,nir NIR,DF,21.0,2003,11,10,967,10.7,1,0,1,1,0,0,1,0,,,,,,,,0.09,0.00,0.09,0.09,0.09,,,,,,,Scotland,stats_standard,10.7,,,,,,,,,,,,,,,0,,,,,,,,,,1,8,2,25.0,0.74,0.19,0.13,0.50,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,9,,,,,,,,,Matches,,,,,,Matches,Matches,
Aaron Essel,St Johnstone,99,gh GHA,"MF,DF",19.0,2005,15,9,835,9.3,0,1,1,0,0,0,5,0,,,,,,,,0.00,0.11,0.11,0.00,0.11,,,,,,,Scotland,stats_standard,9.3,,,,,,,,,,,,,,,1,,,,,,,,,,0,7,2,28.6,0.75,0.22,0.00,0.00,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,20,,,,,,,,,Matches,,,,,,Matches,Matches,
Aaron Malouda,Lille,327,fr FRA,FW,18.0,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,France,stats_standard,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,Matches,0,0,0,0,0,0,0,0,0,,0,,1,3,0,0,0,0,0,1,1,0,Matches,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,,,,,
Aaron Meijers,RKC Waalwijk,303,nl NED,DF,36.0,1987,17,9,753,8.4,0,0,0,0,0,0,1,1,0.1,0.1,0.4,0.5,11,28,22,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches,Netherlands,stats_standard,8.4,293,403,72.7,4903,1820,134,154,87.0,127,160,79.4,23,63,36.5,0,0.4,0.5,-0.4,7,23,8,1,28,Matches,0,2,0,0.0,0.24,0.00,0.00,,16.6,0,0,0,0.06,-0.1,-0.1,Matches,477,33,159,216,105,3,477,3,1,33.3,1,33.3,214,911,461,11,5,1,3,2,254,22,Matches,14,1.68,12,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,403,308,94,12,1,1,37,72,10,9,1,0,293,1,14,Matches,,,,,,,,
Aaron Nicolás Molinas,Defensa y Just,535,ar ARG,"MF,FW",24.0,2000,14,12,932,10.4,2,1,3,2,0,0,2,0,0.9,0.9,1.3,2.1,25,80,65,0.19,0.10,0.29,0.19,0.29,0.09,0.13,0.21,0.09,0.21,Matches,Argentina,stats_standard,10.4,396,496,79.8,7022,2121,183,205,89.3,149,182,81.9,53,78,67.9,1,1.3,1.6,-0.3,21,57,14,2,80,Matches,2,14,5,35.7,1.35,0.48,0.14,0.40,22.9,0,0,0,0.06,+1.1,+1.1,Matches,584,5,47,303,243,13,584,18,15,83.3,3,16.7,323,1670,699,25,24,1,19,16,432,65,Matches,41,4.05,27,10,1,1,2,0,3,0.30,1,2,0,0,0,0,Matches,496,460,31,8,4,6,34,4,17,7,6,1,396,5,11,Matches,,,,,,,,
Aaron Quirós,Vélez Sarsfield,630,ar ARG,DF,23.0,2001,9,7,590,6.6,0,0,0,0,0,0,5,2,0.1,0.1,0.0,0.1,3,30,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Argentina,stats_standard,6.6,291,371,78.4,5889,2482,75,91,82.4,179,200,89.5,33,71,46.5,0,0.0,0.0,0.0,0,12,0,0,30,Matches,0,2,0,0.0,0.31,0.00,0.00,,16.6,0,0,0,0.04,-0.1,-0.1,Matches,449,42,226,211,17,6,449,6,4,66.7,2,33.3,253,1446,930,3,3,0,4,0,272,0,Matches,2,0.31,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,371,326,45,21,0,3,1,24,0,0,0,0,291,0,5,Matches,,,,,,,,
Aaron Ramsdale,Southampton,426,eng ENG,GK,26.0,1998,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,England,stats_standard,30.0,774,1223,63.3,21949,16992,209,210,99.5,302,313,96.5,257,686,37.5,0,0.0,0.1,0.0,0,36,1,0,0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,Matches,1314,946,1286,32,0,0,1314,0,0,,0,,786,4017,2349,0,0,0,3,0,702,0,Matches,3,0.10,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1223,918,298,108,0,4,0,0,0,0,0,0,774,7,1,Matches,,,,,,,,
Aaron Wan-Bissaka,West Ham,543,eng ENG,DF,26.0,1997,36,35,3154,35.0,2,5,7,2,0,0,1,0,1.2,1.2,3.5,4.7,110,149,167,0.06,0.14,0.20,0.06,0.20,0.03,0.10,0.14,0.03,0.14,Matches,England,stats_standard,35.0,1472,1815,81.1,20696,7523,953,1056,90.2,449,550,81.6,48,105,45.7,5,3.5,2.8,+1.5,33,94,35,11,149,Matches,2,16,5,31.3,0.46,0.14,0.13,0.40,15.1,0,0,0,0.07,+0.8,+0.8,Matches,2256,147,682,969,637,48,2256,122,64,52.5,43,35.2,1092,6700,3661,110,65,15,35,22,1322,167,Matches,93,2.65,75,4,7,3,2,2,10,0.29,9,0,0,1,0,0,Matches,1815,1568,243,11,5,1,76,232,0,0,0,0,1472,4,62,Matches,,,,,,,,
