Player,Team,Age,CosineSimilarity,AutoencoderSimilarity,KMeansScore,EuclideanSimilarity,ManhattanSimilarity,FinalScore
Michael Olise,Bayern Munich,22.0,0.965728323622937,1.0,1.0,1.0,1.0,0.9931456662147035
Florian Wirtz,Leverkusen,21.0,0.9699347190478631,0.99709797,0.9850260554982275,0.9045682,0.8937520435516293,0.9678525808773271
Lamine Yamal,Barcelona,17.0,0.9201931548399964,0.9561497,0.8985517068635825,0.8664957,0.8634489061774006,0.9105636176533262
Rayan Cherki,Lyon,20.0,0.9517626348719226,0.9562472,0.862772764762937,0.8847311,0.8711825048084032,0.9069761591389764
Cole Palmer,Chelsea,22.0,0.9557353125477067,0.9592738,0.8221312816940829,0.8871416,0.8791315012642779,0.8953387750427753
Matheus Cunha,Wolves,25.0,1.0,0.9957477,0.7856318232147355,0.8085754,0.8162339582016275,0.8863889929902534
Francisco Trincão,Sporting CP,24.0,0.9444414488502748,0.9573792,0.8150575085713475,0.8107336,0.8601800595590676,0.8805945953105396
Raphinha,Barcelona,27.0,0.9414780253587897,0.9373292,0.8251379495660462,0.8508743,0.8322717992086767,0.8797407940701347
Maghnes Akliouche,Monaco,22.0,0.8866406912645536,0.9393581,0.7564652770604738,0.7592225,0.7505144491526357,0.8279042096860778
Vinicius Júnior,Real Madrid,24.0,0.8908033916485707,0.8960172,0.7863217953125485,0.7816053,0.7223874999227479,0.8277768869488102
Charles De Ketelaere,Atalanta,23.0,0.9609984609267643,0.993042,0.7322939636141225,0.57153857,0.6541982664450058,0.8193367623860903
Bryan Mbeumo,Brentford,24.0,0.8906024581083025,0.9473696,0.7664910955270237,0.6571552,0.6486023140624572,0.8138105219115069
Noa Lang,PSV Eindhoven,25.0,0.9011438094919176,0.8977561,0.7731214434111265,0.6983469,0.6859629633979254,0.8136912826236216
Rafael Leão,Milan,25.0,0.8940866969588877,0.94866824,0.7402909748545358,0.65865606,0.6851148704761126,0.8094633340832548
Igor Paixão,Feyenoord,24.0,0.9061001750033331,0.9138293,0.7614114831394373,0.6407033,0.6587820014414093,0.8061199224216922
Nicolás Paz,Como,19.0,0.9077164493433361,0.94734335,0.7045074640930274,0.69512993,0.7158678508093431,0.8060565178436632
Alex Baena,Villarreal,23.0,0.8680943548590999,0.903718,0.7068755210091294,0.8054923,0.7728317517965195,0.8047872098388767
Christian Pulisic,Milan,25.0,0.9112276995168783,0.9974414,0.7115821097353006,0.58075345,0.655538132335994,0.8042887903515697
Mason Greenwood,Marseille,22.0,0.9221784268235724,0.82776654,0.748161405268694,0.6935259,0.7633807270782739,0.798924473880799
Alex Iwobi,Fulham,28.0,0.8695505971732072,0.8752761,0.7201900547541102,0.75839067,0.6938322790666396,0.7900179536992098
Kylian Mbappé,Real Madrid,25.0,0.8954137729791307,0.8950814,0.6532089488919485,0.7958142,0.7851678053044202,0.7895744420501949
Morgan Rogers,Aston Villa,22.0,0.8630785532689708,0.9755199,0.69522495993979,0.5886685,0.6439209003239141,0.7830833653105799
Gaëtan Perrin,Auxerre,28.0,0.9106633661900327,0.8922068,0.6824841078210334,0.6397448,0.7322365981960974,0.7812519526120327
Julián Álvarez,Atlético Madrid,24.0,0.9397303184137394,0.9026289,0.6318796871676507,0.54946655,0.6996289097394193,0.759670727090712
Luis Díaz,Liverpool,27.0,0.8919120588764413,0.88834333,0.6793425318589087,0.56156653,0.6430900129393282,0.7587037866802139
Eberechi Eze,Crystal Palace,26.0,0.8773135459993153,0.9080641,0.6400570567255213,0.5991628,0.6887784174130211,0.755292836472502
Antoine Semenyo,Bournemouth,24.0,0.8243823318099476,0.89648414,0.6869569350513692,0.6255967,0.5979853422765414,0.7517906337029788
Kenan Yıldız,Juventus,19.0,0.826509181229601,0.93759084,0.6599674154542507,0.5847686,0.6120170540580306,0.7503667079966756
Malik Tillman,PSV Eindhoven,22.0,0.8861077671790039,0.9891499,0.6026061792277206,0.48151085,0.631631897372788,0.7467354749418882
Mikkel Damsgaard,Brentford,24.0,0.7889957235100913,0.88528585,0.6344974206851423,0.70532876,0.7092022749736264,0.742647813747557
Bradley Barcola,Paris S-G,21.0,0.8521074728336892,0.7952839,0.6986613997938018,0.57508844,0.5901987575716189,0.7303026835370716
