Player,Team,Age,AutoencoderSimilarity
Michael Olise,Bayern Munich,22.0,1.0
Christian Pulisic,Milan,25.0,0.9974414
Florian Wirtz,Leverkusen,21.0,0.99709797
Matheus Cunha,Wolves,25.0,0.9957477
Charles De Ketelaere,Atalanta,23.0,0.993042
Malik Tillman,PSV Eindhoven,22.0,0.9891499
Morgan Rogers,Aston Villa,22.0,0.9755199
Cole Palmer,Chelsea,22.0,0.9592738
Francisco Trincão,Sporting CP,24.0,0.9573792
Rayan Cherki,Lyon,20.0,0.9562472
Lamine Yamal,Barcelona,17.0,0.9561497
Rafael Leão,Milan,25.0,0.94866824
Bryan Mbeumo,Brentford,24.0,0.9473696
Nicolás Paz,Como,19.0,0.94734335
Ritsu Doan,Freiburg,26.0,0.942139
Maghnes Akliouche,Monaco,22.0,0.9393581
Kenan Yıldız,Juventus,19.0,0.93759084
Raphinha,Barcelona,27.0,0.9373292
Dejan Kulusevski,Tottenham,24.0,0.93453515
Igor Paixão,Feyenoord,24.0,0.9138293
Evann Guessand,Nice,23.0,0.9135834
Eberechi Eze,Crystal Palace,26.0,0.9080641
Leandro Trossard,Arsenal,29.0,0.9053352
Alex Baena,Villarreal,23.0,0.903718
Julián Álvarez,Atlético Madrid,24.0,0.9026289
Noa Lang,PSV Eindhoven,25.0,0.8977561
Antoine Semenyo,Bournemouth,24.0,0.89648414
Vinicius Júnior,Real Madrid,24.0,0.8960172
Kylian Mbappé,Real Madrid,25.0,0.8950814
Gaëtan Perrin,Auxerre,28.0,0.8922068
Luis Díaz,Liverpool,27.0,0.88834333
Anthony Gordon,Newcastle Utd,23.0,0.8854047
Mikkel Damsgaard,Brentford,24.0,0.88528585
Kaoru Mitoma,Brighton,27.0,0.87738526
Jakob Breum,Go Ahead Eag,20.0,0.87653553
Alex Iwobi,Fulham,28.0,0.8752761
Rodrygo,Real Madrid,23.0,0.87199926
Mattia Zaccagni,Lazio,29.0,0.8673899
Viktor Gyökeres,Sporting CP,26.0,0.85287595
Luciano Valente,Groningen,20.0,0.8483175
Ademola Lookman,Atalanta,26.0,0.8459314
Zuriko Davitashvili,Saint-Étienne,23.0,0.84282804
Amad Diallo,Manchester Utd,22.0,0.8424525
Yann Gboho,Toulouse,23.0,0.84201956
Jarrod Bowen,West Ham,27.0,0.83826125
Alberto Moleiro,Las Palmas,20.0,0.83669996
Moses Simon,Nantes,29.0,0.8341752
Takefusa Kubo,Real Sociedad,23.0,0.83288586
Dodi Lukebakio,Sevilla,26.0,0.83072937
Mason Greenwood,Marseille,22.0,0.82776654
Dani Raba,Leganés,28.0,0.81765723
Chris Führich,Stuttgart,26.0,0.8151864
Álex Berenguer,Athletic Club,29.0,0.80336726
Himad Abdelli,Angers,24.0,0.799687
Yoann Cathline,Utrecht,22.0,0.7994758
