Player,Team,Age,CosineSimilarity
Matheus Cunha,Wolves,25.0,1.0
Florian Wirtz,Leverkusen,21.0,0.9699347190478631
Michael Olise,Bayern Munich,22.0,0.965728323622937
Charles De Ketelaere,Atalanta,23.0,0.9609984609267643
Cole Palmer,Chelsea,22.0,0.9557353125477067
Rayan Cherki,Lyon,20.0,0.9517626348719226
Francisco Trincão,Sporting CP,24.0,0.9444414488502748
Raphinha,Barcelona,27.0,0.9414780253587897
Julián Álvarez,Atlético Madrid,24.0,0.9397303184137394
Mason Greenwood,Marseille,22.0,0.9221784268235724
Lamine Yamal,Barcelona,17.0,0.9201931548399964
Christian Pulisic,Milan,25.0,0.9112276995168783
Gaëtan Perrin,Auxerre,28.0,0.9106633661900327
Nicolás Paz,Como,19.0,0.9077164493433361
Igor Paixão,Feyenoord,24.0,0.9061001750033331
Noa Lang,PSV Eindhoven,25.0,0.9011438094919176
Kylian Mbappé,Real Madrid,25.0,0.8954137729791307
Rafael Leão,Milan,25.0,0.8940866969588877
Luis Díaz,Liverpool,27.0,0.8919120588764413
Vinicius Júnior,Real Madrid,24.0,0.8908033916485707
Bryan Mbeumo,Brentford,24.0,0.8906024581083025
Maghnes Akliouche,Monaco,22.0,0.8866406912645536
Jakob Breum,Go Ahead Eag,20.0,0.8864840008262462
Malik Tillman,PSV Eindhoven,22.0,0.8861077671790039
Eberechi Eze,Crystal Palace,26.0,0.8773135459993153
Alex Iwobi,Fulham,28.0,0.8695505971732072
Alex Baena,Villarreal,23.0,0.8680943548590999
Morgan Rogers,Aston Villa,22.0,0.8630785532689708
Ritsu Doan,Freiburg,26.0,0.860674562794705
Evann Guessand,Nice,23.0,0.8552009626955724
Bradley Barcola,Paris S-G,21.0,0.8521074728336892
Viktor Gyökeres,Sporting CP,26.0,0.8441524667959123
Jarrod Bowen,West Ham,27.0,0.840760007796086
Ademola Lookman,Atalanta,26.0,0.8349958021946573
Hugo Ekitike,Eint Frankfurt,22.0,0.8320289031079167
Kenan Yıldız,Juventus,19.0,0.826509181229601
Antoine Semenyo,Bournemouth,24.0,0.8243823318099476
Alexander Isak,Newcastle Utd,24.0,0.8188356141636646
Leandro Trossard,Arsenal,29.0,0.8108985729199207
Anis Hadj Moussa,Feyenoord,22.0,0.8030696128394128
Ludovic Blas,Rennes,26.0,0.7991163946468863
Amad Diallo,Manchester Utd,22.0,0.7892544440930839
Mikkel Damsgaard,Brentford,24.0,0.7889957235100913
Kerem Aktürkoğlu,Benfica,25.0,0.7831531103938102
Jacob Murphy,Newcastle Utd,29.0,0.7817034195612085
Rodrygo,Real Madrid,23.0,0.7784905183685222
Anthony Gordon,Newcastle Utd,23.0,0.7752739191057145
Kenneth Taylor,Ajax,22.0,0.7748903259952615
Dejan Kulusevski,Tottenham,24.0,0.7744075437762044
Kaoru Mitoma,Brighton,27.0,0.7703755959480063
Vangelis Pavlidis,Benfica,25.0,0.7677127560918882
João Pedro,Brighton,22.0,0.7671247519818618
Dodi Lukebakio,Sevilla,26.0,0.7649710595202471
Enzo Millot,Stuttgart,22.0,0.7634078453366835
Filip Krastev,Zwolle,22.0,0.7577433532415816
Mattia Zaccagni,Lazio,29.0,0.7473293716104594
Luis Henrique,Marseille,22.0,0.7423447551691474
Mohamed Amoura,Wolfsburg,24.0,0.7422462967646054
Oliver Antman,Go Ahead Eag,22.0,0.738215950182059
Riccardo Orsolini,Bologna,27.0,0.7367045120873522
Luciano Valente,Groningen,20.0,0.7328535986769429
Zuriko Davitashvili,Saint-Étienne,23.0,0.7310095054194071
Félix Correia,Gil Vicente FC,23.0,0.7291510123898283
Álex Berenguer,Athletic Club,29.0,0.7205187569598999
Dani Raba,Leganés,28.0,0.7187663498495522
Michel Vlap,Twente,27.0,0.7184561497727431
Moses Simon,Nantes,29.0,0.7138711925654306
Dan Ndoye,Bologna,23.0,0.7095754400847887
Cody Gakpo,Liverpool,25.0,0.7069502216334039
Himad Abdelli,Angers,24.0,0.7069495132821476
Marcus Tavernier,Bournemouth,25.0,0.6968406292513079
Marcus Thuram,Inter,26.0,0.6939066835499821
Yoann Cathline,Utrecht,22.0,0.6894490030055049
Noni Madueke,Chelsea,22.0,0.6811479433885302
Robin Hack,Gladbach,25.0,0.6683686176260181
Raúl Moro,Valladolid,21.0,0.6679702451518923
Mateo Retegui,Atalanta,25.0,0.6675297574909751
Nico Williams,Athletic Club,22.0,0.6672284222611984
Sebastian Nanasi,Strasbourg,22.0,0.6650089283443545
Takefusa Kubo,Real Sociedad,23.0,0.6649966529975088
Yann Gboho,Toulouse,23.0,0.6614567191647958
Victor Edvardsen,Go Ahead Eag,28.0,0.658172571249861
Bernardo Silva,Manchester City,29.0,0.6541204705290609
Alberto Moleiro,Las Palmas,20.0,0.64794738847496
Anthony Elanga,Nott'ham Forest,22.0,0.6351736503553287
Gabriel Strefezza,Como,27.0,0.633099581759804
Tim Kleindienst,Gladbach,28.0,0.624658442386986
Sontje Hansen,NEC Nijmegen,22.0,0.623124451256376
Mohammed Kudus,West Ham,23.0,0.6143264641338751
Lautaro Martínez,Inter,26.0,0.6108404605776595
Dango Ouattara,Bournemouth,22.0,0.6092714608738052
Alejandro Garnacho,Manchester Utd,20.0,0.6059218789234698
Takumi Minamino,Monaco,29.0,0.6054288316727897
Chris Führich,Stuttgart,26.0,0.5975519538692312
Pedro Neto,Chelsea,24.0,0.5972317309933266
Óscar Aranda,Famalicão,22.0,0.5946411586278304
Yoane Wissa,Brentford,27.0,0.5938069509244757
Yankuba Minteh,Brighton,20.0,0.5917392154336735
