Player,Team,Age,EuclideanSimilarity
Michael Olise,Bayern Munich,22.0,1.0
Florian Wirtz,Leverkusen,21.0,0.9045682
Cole Palmer,Chelsea,22.0,0.8871416
Rayan Cherki,Lyon,20.0,0.8847311
Lamine Yamal,Barcelona,17.0,0.8664957
Raphinha,Barcelona,27.0,0.8508743
Francisco Trincão,Sporting CP,24.0,0.8107336
Matheus Cunha,Wolves,25.0,0.8085754
Alex Baena,Villarreal,23.0,0.8054923
Kylian Mbappé,Real Madrid,25.0,0.7958142
Vinicius Júnior,Real Madrid,24.0,0.7816053
Maghnes Akliouche,Monaco,22.0,0.7592225
Alex Iwobi,Fulham,28.0,0.75839067
Viktor Gyökeres,Sporting CP,26.0,0.70914435
Mikkel Damsgaard,Brentford,24.0,0.70532876
Noa Lang,PSV Eindhoven,25.0,0.6983469
Nicolás Paz,Como,19.0,0.69512993
Mason Greenwood,Marseille,22.0,0.6935259
Rafael Leão,Milan,25.0,0.65865606
Bryan Mbeumo,Brentford,24.0,0.6571552
Himad Abdelli,Angers,24.0,0.64514697
Igor Paixão,Feyenoord,24.0,0.6407033
Gaëtan Perrin,Auxerre,28.0,0.6397448
Antoine Semenyo,Bournemouth,24.0,0.6255967
Luciano Valente,Groningen,20.0,0.6209768
Dodi Lukebakio,Sevilla,26.0,0.61769474
Eberechi Eze,Crystal Palace,26.0,0.5991628
Morgan Rogers,Aston Villa,22.0,0.5886685
Kenan Yıldız,Juventus,19.0,0.5847686
Christian Pulisic,Milan,25.0,0.58075345
Bradley Barcola,Paris S-G,21.0,0.57508844
Charles De Ketelaere,Atalanta,23.0,0.57153857
Raúl Moro,Valladolid,21.0,0.56667906
Luis Díaz,Liverpool,27.0,0.56156653
Moses Simon,Nantes,29.0,0.55331266
Julián Álvarez,Atlético Madrid,24.0,0.54946655
Anthony Gordon,Newcastle Utd,23.0,0.54103476
Ludovic Blas,Rennes,26.0,0.5395832
Rodrygo,Real Madrid,23.0,0.5357722
Mohammed Kudus,West Ham,23.0,0.53340715
Marcus Tavernier,Bournemouth,25.0,0.5294354
Filip Krastev,Zwolle,22.0,0.52881724
Takefusa Kubo,Real Sociedad,23.0,0.5254941
Hugo Ekitike,Eint Frankfurt,22.0,0.52511704
Dani Raba,Leganés,28.0,0.52504295
Oliver Antman,Go Ahead Eag,22.0,0.52056754
Pedro Neto,Chelsea,24.0,0.5197527
Félix Correia,Gil Vicente FC,23.0,0.5130101
Mattia Zaccagni,Lazio,29.0,0.51143074
Michel Vlap,Twente,27.0,0.5090385
Levi Smans,Heerenveen,20.0,0.5089652
Anis Hadj Moussa,Feyenoord,22.0,0.5060335
Ademola Lookman,Atalanta,26.0,0.50497407
Chris Führich,Stuttgart,26.0,0.50158376
Nico Williams,Athletic Club,22.0,0.50101215
Bilal El Khannouss,Leicester City,20.0,0.49962217
Lucas Paquetá,West Ham,26.0,0.49931818
Bernardo Silva,Manchester City,29.0,0.4963238
Bryan Zaragoza,Osasuna,23.0,0.4946426
Gabriel Strefezza,Como,27.0,0.483922
Malik Tillman,PSV Eindhoven,22.0,0.48151085
Abde Ezzalzouli,Betis,22.0,0.47528914
Alberto Moleiro,Las Palmas,20.0,0.4751823
Dejan Kulusevski,Tottenham,24.0,0.47485736
Vangelis Pavlidis,Benfica,25.0,0.47295114
Richonell Margaret,RKC Waalwijk,23.0,0.47165504
Noni Madueke,Chelsea,22.0,0.47037554
Yoann Cathline,Utrecht,22.0,0.46495512
Alejandro Garnacho,Manchester Utd,20.0,0.4641806
Morlaye Sylla,Arouca,26.0,0.46193597
Jacob Murphy,Newcastle Utd,29.0,0.46189296
Domingos André Ribeiro Almeida,Valencia,24.0,0.4614198
Ringo Meerveld,Willem II,23.0,0.45892918
Federico Dimarco,Inter,26.0,0.45625862
Óscar Aranda,Famalicão,22.0,0.4558032
Callum Hudson-Odoi,Nott'ham Forest,23.0,0.45328832
Isaac Palazón Camacho,Rayo Vallecano,29.0,0.44956836
Jakob Breum,Go Ahead Eag,20.0,0.44812852
Leandro Trossard,Arsenal,29.0,0.4458821
Luis Henrique,Marseille,22.0,0.4440065
Alexander Isak,Newcastle Utd,24.0,0.4422867
Daan Rots,Twente,23.0,0.44107854
Andrea Cambiaso,Juventus,24.0,0.44107047
Keane Lewis-Potter,Brentford,23.0,0.4369269
Robin Hack,Gladbach,25.0,0.43630716
Dan Ndoye,Bologna,23.0,0.43514058
Kaoru Mitoma,Brighton,27.0,0.43464038
Gustav Isaksen,Lazio,23.0,0.4318669
Amad Diallo,Manchester Utd,22.0,0.4305081
Tom Bischof,Hoffenheim,19.0,0.42292437
