Player,Team,Age,ManhattanSimilarity
Michael Olise,Bayern Munich,22.0,1.0
Florian Wirtz,Leverkusen,21.0,0.8937520435516293
Cole Palmer,Chelsea,22.0,0.8791315012642779
Rayan Cherki,Lyon,20.0,0.8711825048084032
Lamine Yamal,Barcelona,17.0,0.8634489061774006
Francisco Trincão,Sporting CP,24.0,0.8601800595590676
Raphinha,Barcelona,27.0,0.8322717992086767
Matheus Cunha,Wolves,25.0,0.8162339582016275
Viktor Gyökeres,Sporting CP,26.0,0.7934787464502349
Kylian Mbappé,Real Madrid,25.0,0.7851678053044202
Alex Baena,Villarreal,23.0,0.7728317517965195
Mason Greenwood,Marseille,22.0,0.7633807270782739
Maghnes Akliouche,Monaco,22.0,0.7505144491526357
Gaëtan Perrin,Auxerre,28.0,0.7322365981960974
Vinicius Júnior,Real Madrid,24.0,0.7223874999227479
Nicolás Paz,Como,19.0,0.7158678508093431
Mikkel Damsgaard,Brentford,24.0,0.7092022749736264
Julián Álvarez,Atlético Madrid,24.0,0.6996289097394193
Alex Iwobi,Fulham,28.0,0.6938322790666396
Eberechi Eze,Crystal Palace,26.0,0.6887784174130211
Noa Lang,PSV Eindhoven,25.0,0.6859629633979254
Vangelis Pavlidis,Benfica,25.0,0.685541910318398
Rafael Leão,Milan,25.0,0.6851148704761126
Alexander Isak,Newcastle Utd,24.0,0.6779510309539157
Serhou Guirassy,Dortmund,28.0,0.6736139031868411
Hugo Ekitike,Eint Frankfurt,22.0,0.671944802420499
Luciano Valente,Groningen,20.0,0.6712194559649134
Igor Paixão,Feyenoord,24.0,0.6587820014414093
Christian Pulisic,Milan,25.0,0.655538132335994
Charles De Ketelaere,Atalanta,23.0,0.6541982664450058
Bryan Mbeumo,Brentford,24.0,0.6486023140624572
Marcus Tavernier,Bournemouth,25.0,0.645374440790816
Morgan Rogers,Aston Villa,22.0,0.6439209003239141
Luis Díaz,Liverpool,27.0,0.6430900129393282
Jakob Breum,Go Ahead Eag,20.0,0.6329610753655123
Malik Tillman,PSV Eindhoven,22.0,0.631631897372788
Troy Parrott,AZ Alkmaar,22.0,0.6308736559571784
Himad Abdelli,Angers,24.0,0.6271958948571054
Filip Krastev,Zwolle,22.0,0.6219405170356863
Bilal El Khannouss,Leicester City,20.0,0.6170945576505548
Levi Smans,Heerenveen,20.0,0.613054193460693
Lucas Paquetá,West Ham,26.0,0.6120517334044456
Kenan Yıldız,Juventus,19.0,0.6120170540580306
Morlaye Sylla,Arouca,26.0,0.6100471736643216
Riccardo Orsolini,Bologna,27.0,0.6049190927778125
Moise Kean,Fiorentina,24.0,0.6039004839774962
Ludovic Blas,Rennes,26.0,0.6008560501610191
Dani Raba,Leganés,28.0,0.5982045166905036
Antoine Semenyo,Bournemouth,24.0,0.5979853422765414
Jonathan Burkardt,Mainz 05,24.0,0.5974547787403738
Dodi Lukebakio,Sevilla,26.0,0.5973465508409717
Raúl Moro,Valladolid,21.0,0.595765724302285
Isaac Palazón Camacho,Rayo Vallecano,29.0,0.5920155817267188
Lautaro Martínez,Inter,26.0,0.5904390843795776
