Player,Team,Age,KMeansScore
Michael Olise,Bayern Munich,22.0,1.0
Florian Wirtz,Leverkusen,21.0,0.9850260554982275
Lamine Yamal,Barcelona,17.0,0.8985517068635825
Rayan Cherki,Lyon,20.0,0.862772764762937
Raphinha,Barcelona,27.0,0.8251379495660462
Cole Palmer,Chelsea,22.0,0.8221312816940829
Francisco Trincão,Sporting CP,24.0,0.8150575085713475
Vinicius Júnior,Real Madrid,24.0,0.7863217953125485
Matheus Cunha,Wolves,25.0,0.7856318232147355
Noa Lang,PSV Eindhoven,25.0,0.7731214434111265
Bryan Mbeumo,Brentford,24.0,0.7664910955270237
Igor Paixão,Feyenoord,24.0,0.7614114831394373
Maghnes Akliouche,Monaco,22.0,0.7564652770604738
Mason Greenwood,Marseille,22.0,0.748161405268694
Rafael Leão,Milan,25.0,0.7402909748545358
Charles De Ketelaere,Atalanta,23.0,0.7322939636141225
Alex Iwobi,Fulham,28.0,0.7201900547541102
Christian Pulisic,Milan,25.0,0.7115821097353006
Alex Baena,Villarreal,23.0,0.7068755210091294
Nicolás Paz,Como,19.0,0.7045074640930274
Bradley Barcola,Paris S-G,21.0,0.6986613997938018
Morgan Rogers,Aston Villa,22.0,0.69522495993979
Antoine Semenyo,Bournemouth,24.0,0.6869569350513692
Gaëtan Perrin,Auxerre,28.0,0.6824841078210334
Luis Díaz,Liverpool,27.0,0.6793425318589087
Ademola Lookman,Atalanta,26.0,0.6721302297468016
Kenan Yıldız,Juventus,19.0,0.6599674154542507
Kylian Mbappé,Real Madrid,25.0,0.6532089488919485
Eberechi Eze,Crystal Palace,26.0,0.6400570567255213
Jarrod Bowen,West Ham,27.0,0.635349815298746
Mikkel Damsgaard,Brentford,24.0,0.6344974206851423
Dejan Kulusevski,Tottenham,24.0,0.63203459896978
Julián Álvarez,Atlético Madrid,24.0,0.6318796871676507
Anthony Gordon,Newcastle Utd,23.0,0.6264931569255595
Kaoru Mitoma,Brighton,27.0,0.6233381185178929
Anis Hadj Moussa,Feyenoord,22.0,0.6190989849887151
Amad Diallo,Manchester Utd,22.0,0.618171094499866
Rodrygo,Real Madrid,23.0,0.6165453606299078
Moses Simon,Nantes,29.0,0.6156294797926839
Dodi Lukebakio,Sevilla,26.0,0.6115345413466768
Hugo Ekitike,Eint Frankfurt,22.0,0.6112502586136724
Jacob Murphy,Newcastle Utd,29.0,0.6093926478630569
Leandro Trossard,Arsenal,29.0,0.6089043601147207
Oliver Antman,Go Ahead Eag,22.0,0.6079441466773503
Mattia Zaccagni,Lazio,29.0,0.6052615911475072
Ritsu Doan,Freiburg,26.0,0.6036221065442704
Malik Tillman,PSV Eindhoven,22.0,0.6026061792277206
Ludovic Blas,Rennes,26.0,0.6023764195593653
Luis Henrique,Marseille,22.0,0.5946132612831551
Luciano Valente,Groningen,20.0,0.5882593143235761
Jakob Breum,Go Ahead Eag,20.0,0.5845751014235662
Zuriko Davitashvili,Saint-Étienne,23.0,0.5845605366469973
Evann Guessand,Nice,23.0,0.5782700319626568
Nico Williams,Athletic Club,22.0,0.5729261285147621
Félix Correia,Gil Vicente FC,23.0,0.5727605985051742
Kerem Aktürkoğlu,Benfica,25.0,0.5701169592502503
Takefusa Kubo,Real Sociedad,23.0,0.5686029046635731
Alexander Isak,Newcastle Utd,24.0,0.5682385999439756
Mohamed Amoura,Wolfsburg,24.0,0.5644420160106942
Raúl Moro,Valladolid,21.0,0.5632489900265928
Kenneth Taylor,Ajax,22.0,0.5599415357181166
Yoann Cathline,Utrecht,22.0,0.5587224867823153
Álex Berenguer,Athletic Club,29.0,0.5585281539983414
Dan Ndoye,Bologna,23.0,0.5569218975271243
Bernardo Silva,Manchester City,29.0,0.5539567137922232
Noni Madueke,Chelsea,22.0,0.5534710366991775
Filip Krastev,Zwolle,22.0,0.5522853242955602
Anthony Elanga,Nott'ham Forest,22.0,0.5519236547032946
Pedro Neto,Chelsea,24.0,0.5490050785418841
Chris Führich,Stuttgart,26.0,0.5453229487305367
João Pedro,Brighton,22.0,0.5447455268655212
Viktor Gyökeres,Sporting CP,26.0,0.5422720769616967
Yann Gboho,Toulouse,23.0,0.5373173663829379
Marcus Tavernier,Bournemouth,25.0,0.536473782912315
Dani Raba,Leganés,28.0,0.5355080862765551
Gabriel Strefezza,Como,27.0,0.5335218651227579
Alberto Moleiro,Las Palmas,20.0,0.5326106472379077
Gabriel Martinelli,Arsenal,23.0,0.531046362372574
Cody Gakpo,Liverpool,25.0,0.530274232843928
Michel Vlap,Twente,27.0,0.5274866955512431
Mohammed Kudus,West Ham,23.0,0.5266489455848089
Richonell Margaret,RKC Waalwijk,23.0,0.5223103470922474
Alejandro Garnacho,Manchester Utd,20.0,0.5221733967542671
Victor Edvardsen,Go Ahead Eag,28.0,0.5217369396086586
Robin Hack,Gladbach,25.0,0.5210467085485658
Enzo Millot,Stuttgart,22.0,0.5209125599375513
Vangelis Pavlidis,Benfica,25.0,0.5203117072170861
Yankuba Minteh,Brighton,20.0,0.5181475238917598
Levi Smans,Heerenveen,20.0,0.5145914010239317
Federico Dimarco,Inter,26.0,0.5128019457484155
Himad Abdelli,Angers,24.0,0.5092028750741745
Daan Rots,Twente,23.0,0.5070181097932677
Dango Ouattara,Bournemouth,22.0,0.5069376706530638
Callum Hudson-Odoi,Nott'ham Forest,23.0,0.506510834955754
Takumi Minamino,Monaco,29.0,0.5045663984484576
Sebastian Nanasi,Strasbourg,22.0,0.5040752962406048
Sontje Hansen,NEC Nijmegen,22.0,0.5036922851976353
Riccardo Orsolini,Bologna,27.0,0.49958105347281934
