Player,Team,Age,AutoencoderSimilarity
Florian Wirtz,Leverkusen,21.0,1.0
Michael Olise,Bayern Munich,22.0,0.9900547
Charles De Ketelaere,Atalanta,23.0,0.9868481
Malik Tillman,PSV Eindhoven,22.0,0.974177
Christian Pulisic,Milan,25.0,0.9736334
Matheus Cunha,Wolves,25.0,0.9731728
Morgan Rogers,Aston Villa,22.0,0.9568113
Lamine Yamal,Barcelona,17.0,0.9479599
Rayan Cherki,Lyon,20.0,0.94747245
Cole Palmer,Chelsea,22.0,0.9415263
Jakob Breum,Go Ahead Eag,20.0,0.93855727
Nicolás Paz,Como,19.0,0.9321133
Francisco Trincão,Sporting CP,24.0,0.92739177
Kenan Yıldız,Juventus,19.0,0.9267591
Maghnes Akliouche,Monaco,22.0,0.9138198
Dani Raba,Leganés,28.0,0.9066205
João Pedro,Brighton,22.0,0.90529764
Alex Iwobi,Fulham,28.0,0.9005972
Bryan Mbeumo,Brentford,24.0,0.89291537
Gaëtan Perrin,Auxerre,28.0,0.89177024
Raphinha,Barcelona,27.0,0.89162934
Enzo Millot,Stuttgart,22.0,0.88484657
Rafael Leão,Milan,25.0,0.88038135
Mattia Zaccagni,Lazio,29.0,0.8797637
Kenneth Taylor,Ajax,22.0,0.87214243
Ritsu Doan,Freiburg,26.0,0.8717499
Álex Berenguer,Athletic Club,29.0,0.87099123
Alex Baena,Villarreal,23.0,0.87019336
Luciano Valente,Groningen,20.0,0.86652744
Eberechi Eze,Crystal Palace,26.0,0.86485016
Mikkel Damsgaard,Brentford,24.0,0.86312294
Leandro Trossard,Arsenal,29.0,0.8625952
Dejan Kulusevski,Tottenham,24.0,0.85981727
Mason Greenwood,Marseille,22.0,0.85907185
Igor Paixão,Feyenoord,24.0,0.85413396
Julián Álvarez,Atlético Madrid,24.0,0.85330796
Anthony Gordon,Newcastle Utd,23.0,0.8518046
Sebastian Nanasi,Strasbourg,22.0,0.85035217
Marcus Tavernier,Bournemouth,25.0,0.8502996
Luis Henrique,Marseille,22.0,0.84307146
Vinicius Júnior,Real Madrid,24.0,0.8419664
Noa Lang,PSV Eindhoven,25.0,0.8330806
Fabio Vieira,Porto,24.0,0.82885426
Himad Abdelli,Angers,24.0,0.826524
Jacob Murphy,Newcastle Utd,29.0,0.8240947
Bernardo Silva,Manchester City,29.0,0.8217058
Rodrygo,Real Madrid,23.0,0.8174693
Filip Krastev,Zwolle,22.0,0.8173853
Alberto Moleiro,Las Palmas,20.0,0.8140035
Kerem Aktürkoğlu,Benfica,25.0,0.80852497
Takefusa Kubo,Real Sociedad,23.0,0.8081292
Evann Guessand,Nice,23.0,0.8066853
Luis Díaz,Liverpool,27.0,0.80640084
Chris Führich,Stuttgart,26.0,0.806109
Robin Hack,Gladbach,25.0,0.7999214
Yeremi Pino,Villarreal,21.0,0.79537994
Yoann Cathline,Utrecht,22.0,0.79369074
Antoine Semenyo,Bournemouth,24.0,0.790212
Cody Gakpo,Liverpool,25.0,0.78990686
Anis Hadj Moussa,Feyenoord,22.0,0.78878754
Isaac Palazón Camacho,Rayo Vallecano,29.0,0.781729
Kylian Mbappé,Real Madrid,25.0,0.781233
Ludovic Blas,Rennes,26.0,0.77884406
Michel Vlap,Twente,27.0,0.7750679
Dan Ndoye,Bologna,23.0,0.77368313
Daan Rots,Twente,23.0,0.7729144
Sontje Hansen,NEC Nijmegen,22.0,0.77194774
João Carvalho,Estoril,27.0,0.76770306
Yann Gboho,Toulouse,23.0,0.76685005
Levi Smans,Heerenveen,20.0,0.7612172
Kaoru Mitoma,Brighton,27.0,0.7605681
Nico Williams,Athletic Club,22.0,0.76010364
Takumi Minamino,Monaco,29.0,0.758249
Pepê,Porto,27.0,0.75509626
Gabriel Strefezza,Como,27.0,0.7546488
Bilal El Khannouss,Leicester City,20.0,0.7543513
Moses Simon,Nantes,29.0,0.7531949
Bryan Zaragoza,Osasuna,23.0,0.7505676
Jarrod Bowen,West Ham,27.0,0.7501677
Vangelis Pavlidis,Benfica,25.0,0.7469153
Bradley Barcola,Paris S-G,21.0,0.7445036
Dennis Man,Parma,25.0,0.74415076
Riccardo Orsolini,Bologna,27.0,0.7429842
Amad Diallo,Manchester Utd,22.0,0.74212885
Tom Bischof,Hoffenheim,19.0,0.7414537
Pablo Fornals,Betis,28.0,0.7400288
Félix Correia,Gil Vicente FC,23.0,0.73892176
Oliver Antman,Go Ahead Eag,22.0,0.7332731
Marcos Vinicios Sorriso,Famalicão,23.0,0.732631
Zuriko Davitashvili,Saint-Étienne,23.0,0.73061043
Domingos André Ribeiro Almeida,Valencia,24.0,0.7302236
Andrea Cambiaso,Juventus,24.0,0.7286856
Fredrik Aursnes,Benfica,28.0,0.7249207
Federico Dimarco,Inter,26.0,0.72450393
Viktor Tsyhankov,Girona,26.0,0.7241526
Ademola Lookman,Atalanta,26.0,0.7235081
Raúl Moro,Valladolid,21.0,0.72300076
Victor Edvardsen,Go Ahead Eag,28.0,0.7220647
Viktor Gyökeres,Sporting CP,26.0,0.7217322
Lucas Paquetá,West Ham,26.0,0.7213944
Richonell Margaret,RKC Waalwijk,23.0,0.7206974
Pedro Neto,Chelsea,24.0,0.7203091
Mohamed Amoura,Wolfsburg,24.0,0.716489
Nuno Santos,Vitória,25.0,0.7133592
Dodi Lukebakio,Sevilla,26.0,0.71296984
Morlaye Sylla,Arouca,26.0,0.7108256
Hugo Ekitike,Eint Frankfurt,22.0,0.70436287
Callum Hudson-Odoi,Nott'ham Forest,23.0,0.7028055
Alexis Claude-Maurice,Augsburg,26.0,0.7021472
Mohammed Kudus,West Ham,23.0,0.6942982
Lassine Sinayoko,Auxerre,24.0,0.6937628
Dango Ouattara,Bournemouth,22.0,0.6913373
Óscar Aranda,Famalicão,22.0,0.6905448
Kristoffer Peterson,Fortuna Sittard,29.0,0.68885165
Tyler Dibling,Southampton,18.0,0.6864941
Ricardo Horta,Braga,29.0,0.682123
Marcus Thuram,Inter,26.0,0.6784738
Tiago Tomás,Wolfsburg,22.0,0.678362
Alexander Isak,Newcastle Utd,24.0,0.67536706
Dylan Mbayo,Zwolle,22.0,0.67319703
Mateo Retegui,Atalanta,25.0,0.67248863
Lautaro Martínez,Inter,26.0,0.6699135
Juan Cruz,Leganés,24.0,0.666356
Valentín Castellanos,Lazio,25.0,0.6659118
Yankuba Minteh,Brighton,20.0,0.66488075
Yanis Begraoui,Estoril,23.0,0.65792745
Nikola Vlašić,Torino,26.0,0.654608
Tete Morente,Lecce,27.0,0.6535599
Ringo Meerveld,Willem II,23.0,0.65326667
Patrick Dorgu,Lecce,19.0,0.64856577
Tim Kleindienst,Gladbach,28.0,0.6445128
Jonathan Burkardt,Mainz 05,24.0,0.64374447
Joelinton,Newcastle Utd,27.0,0.6434651
Gustav Isaksen,Lazio,23.0,0.64308715
Abde Ezzalzouli,Betis,22.0,0.6429459
Adam Hložek,Hoffenheim,22.0,0.6415322
Leo Sauer,NAC Breda,18.0,0.6411217
Omari Hutchinson,Ipswich Town,20.0,0.63961387
Habib Diarra,Strasbourg,20.0,0.6359753
Keane Lewis-Potter,Brentford,23.0,0.63326937
Noni Madueke,Chelsea,22.0,0.6326048
Anthony Elanga,Nott'ham Forest,22.0,0.6297416
Jonathan David,Lille,24.0,0.6267475
Serhou Guirassy,Dortmund,28.0,0.6254646
Keito Nakamura,Reims,24.0,0.6246978
Samu Omorodion,Porto,20.0,0.6246015
Diego López,Valencia,22.0,0.62119454
Sebastiano Esposito,Empoli,22.0,0.6186034
Benedict Hollerbach,Union Berlin,23.0,0.6177885
Teun Koopmeiners,Juventus,26.0,0.6150473
Alejandro Garnacho,Manchester Utd,20.0,0.61359227
Arnaud Kalimuendo,Rennes,22.0,0.6107804
Jonas Wind,Wolfsburg,25.0,0.60747665
Boulaye Dia,Lazio,27.0,0.6056413
Farid El Melali,Angers,27.0,0.6054249
Ilias Sebaoui,Heerenveen,22.0,0.60483074
Sandro Ramírez,Las Palmas,29.0,0.60266876
Gaetano Oristanio,Venezia,21.0,0.5960991
Vito van Crooy,NEC Nijmegen,28.0,0.5950583
Shuto Machino,Holstein Kiel,24.0,0.58608294
