Player,Team,Age,EuclideanSimilarity
Lamine Yamal,Barcelona,17.0,1.0
Ousmane Dembélé,Paris S-G,27.0,0.99470806
Michael Olise,Bayern Munich,22.0,0.9830171
Rayan Cherki,Lyon,20.0,0.94885945
Désiré Doué,Paris S-G,19.0,0.8749727
Florian Wirtz,Leverkusen,21.0,0.8658538
Sávio,Manchester City,20.0,0.81415355
Kevin De Bruyne,Manchester City,33.0,0.81219983
Noa Lang,PSV Eindhoven,25.0,0.81127214
Vinicius Júnior,Real Madrid,24.0,0.79715973
Alex Baena,Villarreal,23.0,0.7304827
Bertrand Traoré,Ajax,28.0,0.71643305
Bradley Barcola,Paris S-G,21.0,0.71010417
Maghnes Akliouche,Monaco,22.0,0.70618427
Eliesse Ben Seghir,Monaco,19.0,0.7055901
Bukayo Saka,Arsenal,22.0,0.7029073
Mohamed Salah,Liverpool,32.0,0.69710034
Kylian Mbappé,Real Madrid,25.0,0.69501305
Raphinha,Barcelona,27.0,0.6606559
Charles De Ketelaere,Atalanta,23.0,0.635503
Mikkel Damsgaard,Brentford,24.0,0.6208804
Cole Palmer,Chelsea,22.0,0.6136949
Rafael Leão,Milan,25.0,0.6002622
Chris Führich,Stuttgart,26.0,0.5997073
Viktor Gyökeres,Sporting CP,26.0,0.5837528
Adama Traoré,Fulham,28.0,0.578971
Rodrygo,Real Madrid,23.0,0.57355607
Alex Iwobi,Fulham,28.0,0.5622623
Ademola Lookman,Atalanta,26.0,0.56137824
Matheus Cunha,Wolves,25.0,0.55981463
Iago Aspas,Celta Vigo,36.0,0.5546502
Francisco Trincão,Sporting CP,24.0,0.55396235
Bryan Zaragoza,Osasuna,23.0,0.5521633
Mason Greenwood,Marseille,22.0,0.54375947
Son Heung-min,Tottenham,32.0,0.54045016
Marcus Tavernier,Bournemouth,25.0,0.5296856
Jadon Sancho,Chelsea,24.0,0.52331305
Anis Hadj Moussa,Feyenoord,22.0,0.5227709
Ivan Perišić,PSV Eindhoven,35.0,0.51782095
Luciano Valente,Groningen,20.0,0.51447886
Nicolás Paz,Como,19.0,0.50934565
Himad Abdelli,Angers,24.0,0.5076224
Roger Fernandes,Braga,18.0,0.49496853
Kenan Yıldız,Juventus,19.0,0.49471802
Abde Ezzalzouli,Betis,22.0,0.4934123
Amad Diallo,Manchester Utd,22.0,0.49213603
Nico Williams,Athletic Club,22.0,0.48770213
Michel Vlap,Twente,27.0,0.48527017
Vincenzo Grifo,Freiburg,31.0,0.4838378
Noni Madueke,Chelsea,22.0,0.4823311
Anthony Gordon,Newcastle Utd,23.0,0.4819587
Christian Pulisic,Milan,25.0,0.47983712
Takefusa Kubo,Real Sociedad,23.0,0.47848174
Domingos André Ribeiro Almeida,Valencia,24.0,0.47516626
Andrea Cambiaso,Juventus,24.0,0.47337592
Yoann Cathline,Utrecht,22.0,0.4718867
Igor Paixão,Feyenoord,24.0,0.47173828
Pedro Neto,Chelsea,24.0,0.47062108
Dejan Kulusevski,Tottenham,24.0,0.46455342
Malik Tillman,PSV Eindhoven,22.0,0.46430975
Raúl Moro,Valladolid,21.0,0.46284068
Junya Ito,Reims,31.0,0.46066862
Ludovic Blas,Rennes,26.0,0.45976365
Dani Raba,Leganés,28.0,0.458723
Alejandro Garnacho,Manchester Utd,20.0,0.4578039
Luis Díaz,Liverpool,27.0,0.45218194
Oliver Antman,Go Ahead Eag,22.0,0.45190918
Harry Kane,Bayern Munich,31.0,0.44964966
Bilal El Khannouss,Leicester City,20.0,0.44914475
Moses Simon,Nantes,29.0,0.44842583
Félix Correia,Gil Vicente FC,23.0,0.43746123
Nuno Santos,Vitória,25.0,0.42992207
Bernardo Silva,Manchester City,29.0,0.4292701
Antoine Griezmann,Atlético Madrid,33.0,0.42874694
Levi Smans,Heerenveen,20.0,0.42782107
Daan Rots,Twente,23.0,0.42721465
Hugo Ekitike,Eint Frankfurt,22.0,0.4252827
Lucas Paquetá,West Ham,26.0,0.42425546
Florian Thauvin,Udinese,31.0,0.42405152
Pablo Fornals,Betis,28.0,0.42124397
Kerem Aktürkoğlu,Benfica,25.0,0.42112896
Matteo Politano,Napoli,30.0,0.42066932
Sergi Darder,Mallorca,30.0,0.42019185
Gaëtan Perrin,Auxerre,28.0,0.41631252
Federico Dimarco,Inter,26.0,0.4151732
Fabio Vieira,Porto,24.0,0.41472647
Jamie Gittens,Dortmund,19.0,0.41262478
Florian Sotoca,Lens,33.0,0.41095978
Bryan Gil,Girona,23.0,0.40928775
Callum Hudson-Odoi,Nott'ham Forest,23.0,0.4069881
Filip Krastev,Zwolle,22.0,0.4069449
Phil Foden,Manchester City,24.0,0.40397537
Jacob Murphy,Newcastle Utd,29.0,0.4036565
Jakob Breum,Go Ahead Eag,20.0,0.40357462
