Player,Team,Age,ManhattanSimilarity
Ousmane Dembélé,Paris S-G,27.0,0.9999999999999999
Michael Olise,Bayern Munich,22.0,0.973849715334581
Lamine Yamal,Barcelona,17.0,0.9548375006629946
Rayan Cherki,Lyon,20.0,0.9409595249636515
Florian Wirtz,Leverkusen,21.0,0.9074785442054725
Désiré Doué,Paris S-G,19.0,0.8810487057332078
Noa Lang,PSV Eindhoven,25.0,0.8095168219599918
Kevin De Bruyne,Manchester City,33.0,0.7985105025581642
Alex Baena,Villarreal,23.0,0.7970401394089464
Eliesse Ben Seghir,Monaco,19.0,0.7913952174438982
Sávio,Manchester City,20.0,0.7807294829174796
Bertrand Traoré,Ajax,28.0,0.7754211441469102
Vinicius Júnior,Real Madrid,24.0,0.7689625081953766
Charles De Ketelaere,Atalanta,23.0,0.7623931241596633
Kylian Mbappé,Real Madrid,25.0,0.7597571678569917
Maghnes Akliouche,Monaco,22.0,0.7547355305870573
Mohamed Salah,Liverpool,32.0,0.7513758194026311
Cole Palmer,Chelsea,22.0,0.742787456583244
Raphinha,Barcelona,27.0,0.7253704410380672
Iago Aspas,Celta Vigo,36.0,0.7236742671509278
Mikkel Damsgaard,Brentford,24.0,0.7152603809136512
Rodrygo,Real Madrid,23.0,0.6980531977073313
Bukayo Saka,Arsenal,22.0,0.6956379820293105
Matheus Cunha,Wolves,25.0,0.6903465003808283
Viktor Gyökeres,Sporting CP,26.0,0.690256512292729
Francisco Trincão,Sporting CP,24.0,0.6888590304573304
Rafael Leão,Milan,25.0,0.6832456371270199
Bradley Barcola,Paris S-G,21.0,0.6789509290763546
Alex Iwobi,Fulham,28.0,0.6662730683566676
Nicolás Paz,Como,19.0,0.6660193222629338
Marcus Tavernier,Bournemouth,25.0,0.6606927140897979
Mason Greenwood,Marseille,22.0,0.6537974759754887
Chris Führich,Stuttgart,26.0,0.6527426868968116
Harry Kane,Bayern Munich,31.0,0.6521890472589887
Dejan Kulusevski,Tottenham,24.0,0.6469117404536229
Jadon Sancho,Chelsea,24.0,0.6460144298704067
Kenan Yıldız,Juventus,19.0,0.645806922788123
Vincenzo Grifo,Freiburg,31.0,0.6430749267195061
Adama Traoré,Fulham,28.0,0.6417836143371868
Michel Vlap,Twente,27.0,0.6351981652816614
Christian Pulisic,Milan,25.0,0.6333450473622487
Luciano Valente,Groningen,20.0,0.6319425330425545
Himad Abdelli,Angers,24.0,0.6295856984310592
Antoine Griezmann,Atlético Madrid,33.0,0.6287235387448742
Anthony Gordon,Newcastle Utd,23.0,0.626944861065722
Malik Tillman,PSV Eindhoven,22.0,0.6248567635363724
Son Heung-min,Tottenham,32.0,0.6219955504733365
Fabio Vieira,Porto,24.0,0.6181734860623331
Amad Diallo,Manchester Utd,22.0,0.6159344942024173
Nico Williams,Athletic Club,22.0,0.6159001242095412
Junya Ito,Reims,31.0,0.6151632378859204
Ademola Lookman,Atalanta,26.0,0.6123752552545463
Ivan Perišić,PSV Eindhoven,35.0,0.6118715989170338
Domingos André Ribeiro Almeida,Valencia,24.0,0.6088934463624963
Takefusa Kubo,Real Sociedad,23.0,0.6080693174661864
Dani Raba,Leganés,28.0,0.6061899739626595
Vangelis Pavlidis,Benfica,25.0,0.6051660811543264
Igor Paixão,Feyenoord,24.0,0.6033219610062509
Bryan Zaragoza,Osasuna,23.0,0.6030958821721748
Phil Foden,Manchester City,24.0,0.6030680225683475
Bernardo Silva,Manchester City,29.0,0.6024743568992443
Anis Hadj Moussa,Feyenoord,22.0,0.5999543011331364
Roger Fernandes,Braga,18.0,0.599549640618093
Luis Díaz,Liverpool,27.0,0.5975617458379422
Yoann Cathline,Utrecht,22.0,0.5973610213578174
Jakob Breum,Go Ahead Eag,20.0,0.5957867345548488
Isaac Palazón Camacho,Rayo Vallecano,29.0,0.5921010467712251
Hákon Arnar Haraldsson,Lille,21.0,0.5901000198904951
Abde Ezzalzouli,Betis,22.0,0.5872683006980169
Hugo Ekitike,Eint Frankfurt,22.0,0.5867912272140335
Pablo Fornals,Betis,28.0,0.5849518919565383
Lucas Paquetá,West Ham,26.0,0.584870979614917
Raúl Moro,Valladolid,21.0,0.5842293458129744
Levi Smans,Heerenveen,20.0,0.5832329918152812
Oliver Antman,Go Ahead Eag,22.0,0.5831368408091935
Bryan Gil,Girona,23.0,0.5811982098501767
Pedro Neto,Chelsea,24.0,0.5811911945576823
Moses Simon,Nantes,29.0,0.5785429460133916
Daan Rots,Twente,23.0,0.5775068143191856
Nuno Santos,Vitória,25.0,0.5772179924216924
Andrea Cambiaso,Juventus,24.0,0.5771734054622214
Gaëtan Perrin,Auxerre,28.0,0.5763916405339885
Bilal El Khannouss,Leicester City,20.0,0.5760067787882112
Ludovic Blas,Rennes,26.0,0.5744731106934636
Florian Sotoca,Lens,33.0,0.5720188754974896
Eberechi Eze,Crystal Palace,26.0,0.5686987002619385
Julián Álvarez,Atlético Madrid,24.0,0.5684371135084337
Robin Hack,Gladbach,25.0,0.5679326784075832
Matteo Politano,Napoli,30.0,0.5663927966739529
Sergi Darder,Mallorca,30.0,0.565232446216552
Patrick Wimmer,Wolfsburg,23.0,0.5634323695897965
Kerem Aktürkoğlu,Benfica,25.0,0.5629084588183623
Fredrik Aursnes,Benfica,28.0,0.5628960363162655
Deniz Undav,Stuttgart,28.0,0.5613777550963892
Sebastian Nanasi,Strasbourg,22.0,0.5596483471667875
Morgan Rogers,Aston Villa,22.0,0.5575114212255374
Bryan Mbeumo,Brentford,24.0,0.5560659514135727
Jacob Murphy,Newcastle Utd,29.0,0.5549043596940315
Enzo Millot,Stuttgart,22.0,0.5543424597963138
Félix Correia,Gil Vicente FC,23.0,0.5532670716121848
Antoine Semenyo,Bournemouth,24.0,0.5531232777127569
Alassane Pléa,Gladbach,31.0,0.5527856791123269
João Carvalho,Estoril,27.0,0.5517124338859732
Alexander Isak,Newcastle Utd,24.0,0.5515177799393515
Yann Gboho,Toulouse,23.0,0.5510553733570284
Filip Krastev,Zwolle,22.0,0.5509272362400867
Kaoru Mitoma,Brighton,27.0,0.5491001184602948
Noni Madueke,Chelsea,22.0,0.5483584156278741
Florian Thauvin,Udinese,31.0,0.5474941793492396
Kenneth Taylor,Ajax,22.0,0.5437514042112465
Tom Bischof,Hoffenheim,19.0,0.5434016773887124
Mattia Zaccagni,Lazio,29.0,0.5427399897309292
Callum Hudson-Odoi,Nott'ham Forest,23.0,0.542451366764735
Dylan Mbayo,Zwolle,22.0,0.541587610770151
Jamie Gittens,Dortmund,19.0,0.5409882949087209
Yankuba Minteh,Brighton,20.0,0.5406199775610765
Morlaye Sylla,Arouca,26.0,0.5402594649733494
João Pedro,Brighton,22.0,0.5385598443709069
Dennis Man,Parma,25.0,0.5370038037508746
Riccardo Orsolini,Bologna,27.0,0.5367397362845499
Viktor Tsyhankov,Girona,26.0,0.5362562989751402
Gustav Isaksen,Lazio,23.0,0.5360631630324202
Alejandro Garnacho,Manchester Utd,20.0,0.5353642791740193
Leandro Trossard,Arsenal,29.0,0.5333007463665198
Pepê,Porto,27.0,0.5324063354375347
Kristoffer Peterson,Fortuna Sittard,29.0,0.5289358913193258
Yeremi Pino,Villarreal,21.0,0.528218718296971
Cody Gakpo,Liverpool,25.0,0.5279789044753245
Álex Berenguer,Athletic Club,29.0,0.5277556589301537
Richonell Margaret,RKC Waalwijk,23.0,0.5261820254057138
Dan Ndoye,Bologna,23.0,0.5245890757838927
Alen Halilović,Fortuna Sittard,28.0,0.522379528720423
Federico Dimarco,Inter,26.0,0.5213088465460033
Gabriel Strefezza,Como,27.0,0.5210106402950339
Luis Rioja,Valencia,30.0,0.5183626512836298
Sontje Hansen,NEC Nijmegen,22.0,0.5175853687320733
Luis Henrique,Marseille,22.0,0.517117573322355
Alberto Moleiro,Las Palmas,20.0,0.5150771908771634
