Player,Team,Age,KMeansScore
Michael Olise,Bayern Munich,22.0,1.0
Florian Wirtz,Leverkusen,21.0,0.9996928102525454
Rayan Cherki,Lyon,20.0,0.9550822876903002
Lamine Yamal,Barcelona,17.0,0.9207137683794082
Noa Lang,PSV Eindhoven,25.0,0.8461291763623746
Charles De Ketelaere,Atalanta,23.0,0.8295993831567684
Vinicius Júnior,Real Madrid,24.0,0.8282134604970675
Maghnes Akliouche,Monaco,22.0,0.8007132053885664
Raphinha,Barcelona,27.0,0.7905298437033133
Matheus Cunha,Wolves,25.0,0.7798946648679933
Rafael Leão,Milan,25.0,0.7794385952262483
Cole Palmer,Chelsea,22.0,0.7571078229459883
Francisco Trincão,Sporting CP,24.0,0.746936483431403
Bradley Barcola,Paris S-G,21.0,0.7433735711386816
Alex Baena,Villarreal,23.0,0.7335382898916678
Mason Greenwood,Marseille,22.0,0.7331231181397726
Igor Paixão,Feyenoord,24.0,0.7308310307167767
Christian Pulisic,Milan,25.0,0.7264983577830364
Amad Diallo,Manchester Utd,22.0,0.7260799567224424
Ademola Lookman,Atalanta,26.0,0.7181415854526274
Alex Iwobi,Fulham,28.0,0.7158739983459493
Anis Hadj Moussa,Feyenoord,22.0,0.7122512646259486
Rodrygo,Real Madrid,23.0,0.7055645588557552
Luis Díaz,Liverpool,27.0,0.7053771570455761
Malik Tillman,PSV Eindhoven,22.0,0.696537168498651
Kenan Yıldız,Juventus,19.0,0.6831880616666894
Gaëtan Perrin,Auxerre,28.0,0.6715155589486151
Dejan Kulusevski,Tottenham,24.0,0.6704506784656411
Nicolás Paz,Como,19.0,0.6692159839478451
Bryan Mbeumo,Brentford,24.0,0.6679614382196332
Jakob Breum,Go Ahead Eag,20.0,0.6545479963727335
Anthony Gordon,Newcastle Utd,23.0,0.6518405438345565
Kerem Aktürkoğlu,Benfica,25.0,0.6483379265021317
Nico Williams,Athletic Club,22.0,0.6459430102419822
Ludovic Blas,Rennes,26.0,0.644953224172741
Kylian Mbappé,Real Madrid,25.0,0.6436548916165996
Jacob Murphy,Newcastle Utd,29.0,0.6409306104579845
Yoann Cathline,Utrecht,22.0,0.6396220701433007
João Pedro,Brighton,22.0,0.6375316090523613
Oliver Antman,Go Ahead Eag,22.0,0.6350312256058721
Marcus Tavernier,Bournemouth,25.0,0.630861956926322
Chris Führich,Stuttgart,26.0,0.628928324181911
Julián Álvarez,Atlético Madrid,24.0,0.6257399729260608
